Data;Vazão;Precipitação;ENO
01/12/2023;0;27,5;1,95
01/11/2023;0,0316;3,3;1,92
01/10/2023;0,5197;13,4;1,78
01/09/2023;;49;1,56
01/08/2023;15.213;73;1,32
01/07/2023;277.283;110,7;1,07
01/06/2023;12.363;235,7;0,77
01/05/2023;0,8106;87,6;0,48
01/04/2023;21.277;88,6;0,16
01/03/2023;0,2598;181,4;-0,15
01/02/2023;0;73,6;-0,43
01/01/2023;0,5197;97,3;-0,68
01/12/2022;57.766;78,3;-0,83
01/11/2022;0,0076;168;-0,92
01/10/2022;0;7,3;-0,99
01/09/2022;25.193;25,7;-1,01
01/08/2022;6.338;115,4;-0,91
01/07/2022;1.152.418;205,7;-0,81
01/06/2022;8.909;161,1;-0,85
01/05/2022;0;328,5;-0,99
01/04/2022;0;83,8;-1,06
01/03/2022;0;84,1;-0,99
01/02/2022;0;28,1;-0,93
01/01/2022;0;51,3;-0,97
01/12/2021;0;82,4;-0,98
01/11/2021;0;3,1;-0,98
01/10/2021;0,0213;42,1;-0,81
01/09/2021;0,8106;24,3;-0,67
01/08/2021;12.904;92,2;-0,49
01/07/2021;0,5851;82,4;-0,4
01/06/2021;14.029;41,1;-0,38
01/05/2021;12.904;153,6;-0,48
01/04/2021;0;103,5;-0,66
01/03/2021;0;58,3;-0,84
01/02/2021;0;3,7;-0,93
01/01/2021;0;14;-1,05
01/12/2020;0;3;-1,19
01/11/2020;0;14,1;-1,27
01/10/2020;0;0;-1,17
01/09/2020;0,0784;64,7;-0,89
01/08/2020;20.542;46,7;-0,57
01/07/2020;45.089;91,5;-0,41
01/06/2020;3.838;148,1;-0,3
01/05/2020;677.081;118,4;-0,08
01/04/2020;36.288;142;0,19
01/03/2020;0;171,4;0,4
01/02/2020;0;74,6;0,48
01/01/2020;0;35,5;0,5
01/12/2019;0;2,5;0,55
01/11/2019;0;0,9;0,51
01/10/2019;0,5197;13,3;0,35
01/09/2019;12.904;43,4;0,19
01/08/2019;32.316;128,6;0,14
01/07/2019;0,8106;220,7;0,28
01/06/2019;0;139,4;0,45
01/05/2019;0,2203;56,3;0,54
01/04/2019;69.312;107,7;0,66
01/03/2019;0;187,6;0,71
01/02/2019;0;74;0,72
01/01/2019;0;22,9;0,75
01/12/2018;0;48,3;0,81
01/11/2018;0;11;0,9
01/10/2018;0;;0,76
01/09/2018;0;10,1;0,49
01/08/2018;0,2203;15;0,23
01/07/2018;0,7305;48,7;0,09
01/06/2018;0,5851;84,4;-0,01
01/05/2018;12.904;78,1;-0,22
01/04/2018;0,4026;168,7;-0,5
01/03/2018;0,0013;89,4;-0,7
01/02/2018;0;97,2;-0,85
01/01/2018;0;36,2;-0,92
01/12/2017;0;7,5;-0,97
01/11/2017;0;0,5;-0,84
